s1(8,28,3,1,0,0,0,1)
s2(8,29,3,1,1,1,0,1)
s3(8,27,3,1,0,1,1,1)
s4(11,28,4,1,1,0,1,0)
s5(15,28,1,1,0,1,0,0)
s6(15,27,1,4,0,1,0,1)
s7(15,32,1,4,0,1,0,1)
s8(15,23,1,1,0,0,0,0)
s9(11,23,4,1,1,0,1,0)
s10(16,23,3,1,1,0,1,0)
s11(15,22,1,4,0,1,0,1)
s12(2,23,9,1,0,0,0,1)
s13(2,25,9,2,1,1,0,1)
s14(2,22,9,3,0,1,1,1)
s15(12,18,3,13,1,0,1,1)
s16(15,18,1,13,0,0,1,0)
s17(16,18,3,13,1,1,1,0)
s18(19,25,4,2,1,0,0,1)
s19(19,23,4,1,0,0,0,0)
s20(19,22,4,2,0,0,1,1)
s21(23,25,2,2,1,1,0,0)
s22(23,23,2,1,0,1,0,0)
s23(23,22,2,2,0,1,0,0)
s24(23,20,2,5,0,1,0,1)
s25(23,15,2,2,0,0,1,1)
s26(25,15,3,2,1,0,1,0)
s27(28,18,5,3,1,1,0,1)
s28(28,15,5,2,0,1,0,0)
s29(28,13,5,3,0,1,1,1)
s30(7,42,2,5,1,0,0,1)
s31(9,42,1,5,1,0,1,0)
s32(10,42,2,5,1,0,0,0)
s33(12,42,1,5,1,0,1,0)
s34(13,42,2,5,1,0,0,0)
s35(15,42,1,5,1,0,1,0)
s36(16,42,2,5,1,0,0,0)
s37(18,42,1,5,1,0,1,0)
s38(19,42,2,5,1,0,0,0)
s39(21,42,1,5,1,0,1,0)
s40(22,42,2,5,1,1,0,0)
s41(7,37,2,3,0,1,0,1)
s42(10,37,2,3,0,1,0,1)
s43(13,37,2,3,0,1,0,1)
s44(16,37,2,3,0,1,0,1)
s45(19,37,2,3,0,1,0,1)
s46(22,37,2,3,0,1,0,1)
s47(7,34,2,2,0,0,1,1)
s48(9,34,1,2,1,0,1,0)
s49(10,34,2,2,0,0,1,0)
s50(12,34,1,2,1,0,1,0)
s51(13,34,2,2,0,0,1,0)
s52(15,34,1,2,1,0,0,0)
s53(16,34,2,2,0,0,1,0)
s54(18,34,1,2,1,0,1,0)
s55(19,34,2,2,0,0,1,0)
s56(21,34,1,2,1,0,1,0)
s57(22,34,2,2,0,1,1,0)
p(10.5,27.5,0)
